protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
AMIODARONE	DACLATASVIR	Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique et ECG etroite, en particulier pendant les premieres semaines de traitement par la bitherapie. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Uniquement lors de la bitherapie daclatasvir/sofosbuvir : Survenue de bradycardie eventuellement brutale, pouvant avoir des consequences fatales.		 Si l'association ne peut etre evitee, surveillance clinique et ECG etroite, en particulier pendant les premieres semaines de traitement par la bitherapie. 		
AMIODARONE	DIGOXINE	Precaution d'emploi Surveillance clinique, ECG et, s'il y a lieu, controle de la digoxinemie et adaptation de la posologie de la digoxine. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Depression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la digoxinemie par diminution de la clairance de la digoxine.			 Surveillance clinique, ECG et, s'il y a lieu, controle de la digoxinemie et adaptation de la posologie de la digoxine. 	
AMIODARONE	DILTIAZEM	ASDEC - PE Association deconseillee avec : - le diltiazem IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	 avec : - le diltiazem per os Surveillance clinique et ECG. Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- ventriculaire, notamment chez les personnes agees. Thesaurus des interactions medicamenteuses		ASDEC - PE Association deconseillee avec : - le diltiazem IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	ASDEC - PE Association deconseillee avec : - le diltiazem IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	
AMIODARONE	ESMOLOL	Precaution d'emploi Surveillance clinique et ECG. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Troubles de la contractilite, de l'automatisme et de la conduction (suppression des mecanismes sympathiques compensateurs).			 Surveillance clinique et ECG. 	
AMIODARONE	FIDAXOMICINE	Association DECONSEILLEE 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques de la fidaxomicine.		 		
AMIODARONE	FLUCONAZOLE	Precaution d'emploi Surveillance clinique, particulierement aux fortes doses de fluconazole (800 mg/j). 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque d'allongement de l'intervalle QT.			 Surveillance clinique, particulierement aux fortes doses de fluconazole (800 mg/j). 	
AMIODARONE	IBRUTINIB	Precaution d'emploi Surveiller clinique etroite et reduction de la dose d'ibrutinib a 140 mg par jour pendant la duree de l'association. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques d'ibrutinib par diminution de son metabolisme hepatique par l'amiodarone.			 Surveiller clinique etroite et reduction de la dose d'ibrutinib a 140 mg par jour pendant la duree de l'association. 	
AMIODARONE	LEDIPASVIR	Association DECONSEILLEE Si l'association ne peut etre evitee, il est recommande de surveiller etroitement les patients, en particulier pendant les premieres semaines de traitement par la bitherapie (surveillance clinique et ECG). 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Uniquement lors de la bitherapie ledipasvir/sofosbuvir, survenue de bradycardie, eventuellement brutale, pouvant avoir des consequences fatales.		 Si l'association ne peut etre evitee, il est recommande de surveiller etroitement les patients, en particulier pendant les premieres semaines de traitement par la bitherapie (surveillance clinique et ECG). 		
AMIODARONE	LIDOCAINE	Precaution d'emploi Surveillance clinique, ECG et eventuellement controle des concentrations plasmatiques de lidocaine. Si besoin, adaptation de la posologie de la lidocaine pendant le traitement par amiodarone et apres son arret. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque d'augmentation des concentrations plasmatiques de lidocaine, avec possibilite d'effets indesirables neurologiques et cardiaques, par diminution de son metabolisme hepatique par l'amiodarone.			 Surveillance clinique, ECG et eventuellement controle des concentrations plasmatiques de lidocaine. Si besoin, adaptation de la posologie de la lidocaine pendant le traitement par amiodarone et apres son arret. 	
AMIODARONE	NINTEDANIB	Precaution d'emploi Surveillance clinique pendant l'association. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques du nintedanib par augmentation de son absorption par l'amiodarone.			 Surveillance clinique pendant l'association. 	
AMIODARONE	OLAPARIB	Association DECONSEILLEE Si l'association ne peut etre evitee, limiter la dose d'olaparib a 200 mg 2 fois par jour avec l'amiodarone. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques d'olaparib par l' amiodarone		 Si l'association ne peut etre evitee, limiter la dose d'olaparib a 200 mg 2 fois par jour avec l'amiodarone. 		
AMIODARONE	OMBITASVIR + PARITAPREVIR	CONTRE-INDICATION Augmentation des concentrations plasmatiques de l'amiodarone 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques de l'amiodarone par diminution de son metabolisme hepatique par la bitherapie.				
AMIODARONE	ORLISTAT	Precaution d'emploi Surveillance clinique et, si besoin, ECG. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque de diminution des concentrations plasmatiques de l'amiodarone et de son metabolite actif.			 Surveillance clinique et, si besoin, ECG. 	
AMIODARONE	PHENYTOINE (ET, PAR EXTRAPOLATION, FOSPHENYTOINE)	Precaution d'emploi Surveillance clinique, controle des concentrations plasmatiques de phenytoine et adaptation eventuelle de sa posologie. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations plasmatiques de la phenytoine avec signes de surdosage, en particulier neurologiques (diminution du metabolisme hepatique de la phenytoine).			 Surveillance clinique, controle des concentrations plasmatiques de phenytoine et adaptation eventuelle de sa posologie. 	
AMIODARONE	SIMVASTATINE	Precaution d'emploi Ne pas depasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernee par ce type d'interaction. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse (diminution du metabolisme hepatique de la simvastatine).			 Ne pas depasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernee par ce type d'interaction. 	
AMIODARONE	SOFOSBUVIR	Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique et ECG etroite, en particulier pendant les premieres semaines de traitement par la bitherapie. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Uniquement lors de la bitherapie daclatasvir/sofosbuvir ou ledipasvir/sofosbuvir : Survenue de bradycardie eventuellement brutale, pouvant avoir des consequences fatales.		 Si l'association ne peut etre evitee, surveillance clinique et ECG etroite, en particulier pendant les premieres semaines de traitement par la bitherapie. 		
AMIODARONE	TACROLIMUS	Precaution d'emploi Dosage des concentrations sanguines de tacrolimus, controle de la fonction renale et adaptation de la posologie de tacrolimus pendant l'association et a l'arret de l'amiodarone. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Augmentation des concentrations sanguines de tacrolimus par inhibition de son metabolisme par l'amiodarone. Thesaurus des interactions medicamenteuses			 Dosage des concentrations sanguines de tacrolimus, controle de la fonction renale et adaptation de la posologie de tacrolimus pendant l'association et a l'arret de l'amiodarone. 	
AMIODARONE	TAMSULOSINE	Precaution d'emploi Surveillance clinique et adaptation de la posologie de la tamsulosine pendant le traitement par l'inhibiteur enzymatique et apres son arret, le cas echeant. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque de majoration des effets indesirables de la tamsulosine, par inhibition de son metabolisme hepatique.			 Surveillance clinique et adaptation de la posologie de la tamsulosine pendant le traitement par l'inhibiteur enzymatique et apres son arret, le cas echeant. 	
AMIODARONE	TELAPREVIR	CONTRE-INDICATION Troubles de l'automatisme et de la conduction cardiaque avec 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Troubles de l'automatisme et de la conduction cardiaque avec risque de bradycardie excessive.				
AMIODARONE	VERAPAMIL	ASDEC - PE Association deconseillee avec : - le verapamil IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	 avec : - le verapamil per os Surveillance clinique et ECG. Pour verapamil voie injectable : -risque de bradycardie ou de bloc auriculo-ventriculaire. Pour verapamil per os : -risque de bradycardie ou de bloc auriculo-ventriculaire, notamment chez les personnes agees.		ASDEC - PE Association deconseillee avec : - le verapamil IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	ASDEC - PE Association deconseillee avec : - le verapamil IV Si l'association ne peut etre evitee, surveillance clinique et ECG continu. 	
AMIODARONE	VORICONAZOLE	Precaution d'emploi Surveillance clinique et ECG, et adaptation eventuelle de la posologie de l'amiodarone. 	Voir aussi : antiarythmiques - bradycardisants - substances susceptibles de donner des torsades de pointes - torsadogenes (sauf antiparasitaires, neuroleptiques, methadone)	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes, par possible diminution du metabolisme de l'amiodarone.			 Surveillance clinique et ECG, et adaptation eventuelle de la posologie de l'amiodarone. 	
AMLODIPINE	SIMVASTATINE	Precaution d'emploi Ne pas depasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernee par ce type d'interaction. 	Voir aussi : antagonistes des canaux calciques - antihypertenseurs sauf alpha-bloquants - dihydropyridines - medicaments abaissant la pression arterielle	Risque majore d'effets indesirables (dose-dependants) a type de rhabdomyolyse (diminution du metabolisme hepatique de l'hypocholesterolemiant).			 Ne pas depasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernee par ce type d'interaction. 	
AMPHOTERICINE B	CICLOSPORINE	A prendre en compte Avec l'amphotericine B administree par voie IV : augmentation de 	Voir aussi : hypokaliemiants - medicaments nephrotoxiques	Avec l'amphotericine B administree par voie IV : augmentation de la creatininemie plus importante que sous ciclosporine seule (synergie des effets nephrotoxiques des deux substances).				
AMPHOTERICINE B	TACROLIMUS	A prendre en compte Avec l'amphotericine B administree par voie IV : augmentation de 	Voir aussi : hypokaliemiants - medicaments nephrotoxiques	Avec l'amphotericine B administree par voie IV : augmentation de la creatininemie plus importante que sous tacrolimus seul (synergie des effets nephrotoxiques des deux substances).				
AMPHOTERICINE B	ZIDOVUDINE	Precaution d'emploi Controle plus frequent de l'hemogramme. 	Voir aussi : hypokaliemiants - medicaments nephrotoxiques	Avec l'amphotericine B administree par voie IV : augmentation de la toxicite hematologique (addition d'effets de toxicite medullaire).			 Controle plus frequent de l'hemogramme. 	
ANAGRELIDE	ANTIAGREGANTS PLAQUETTAIRES	Association DECONSEILLEE 		Majoration des evenements hemorragiques.		 		
ANAGRELIDE	SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES	Precaution d'emploi Surveillance clinique et electrocardiographique pendant l'association. 		Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes. Thesaurus des interactions medicamenteuses			 Surveillance clinique et electrocardiographique pendant l'association. 	
ANAKINRA	ANTI-TNF ALPHA	Association DECONSEILLEE Risque accru d'infections graves et de neutropenies.		Risque accru d'infections graves et de neutropenies.				
ANAKINRA	ETANERCEPT	Association DECONSEILLEE Risque accru d'infections graves et de neutropenies.		Risque accru d'infections graves et de neutropenies.				
ANALGESIQUES MORPHINIQUES AGONISTES	ANALGESIQUES MORPHINIQUES AGONISTES	A prendre en compte Risque majore de depression respiratoire, pouvant etre fatale en 	(alfentanil, codeine, dihydrocodeine, fentanyl, hydromorphone, morphine, oxycodone, pethidine, remifentanil, sufentanil, tapentadol, tramadol)	Risque majore de depression respiratoire, pouvant etre fatale en cas de surdosage.				
ANALGESIQUES MORPHINIQUES AGONISTES	ANTITUSSIFS MORPHINE-LIKE	A prendre en compte Risque majore de depression respiratoire, pouvant etre fatale en 	(alfentanil, codeine, dihydrocodeine, fentanyl, hydromorphone, morphine, oxycodone, pethidine, remifentanil, sufentanil, tapentadol, tramadol)	Risque majore de depression respiratoire, pouvant etre fatale en cas de surdosage.				
ANALGESIQUES MORPHINIQUES AGONISTES	ANTITUSSIFS MORPHINIQUES VRAIS	A prendre en compte Risque majore de depression respiratoire, pouvant etre fatale en 	(alfentanil, codeine, dihydrocodeine, fentanyl, hydromorphone, morphine, oxycodone, pethidine, remifentanil, sufentanil, tapentadol, tramadol)	Risque majore de depression respiratoire, pouvant etre fatale en cas de surdosage.				
ANALGESIQUES MORPHINIQUES DE PALIER III	MORPHINIQUES AGONISTES-ANTAGONISTES	CONTRE-INDICATION Diminution de l'effet antalgique par blocage competitif des 	(alfentanil, fentanyl, hydromorphone, morphine, oxycodone, pethidine, remifentanil, sufentanil, tapentadol)	Diminution de l'effet antalgique par blocage competitif des recepteurs, avec risque d'apparition d'un syndrome de sevrage.				
ANALGESIQUES MORPHINIQUES DE PALIER III	MORPHINIQUES ANTAGONISTES PARTIELS	CONTRE-INDICATION Risque de diminution de l'effet antalgique.	(alfentanil, fentanyl, hydromorphone, morphine, oxycodone, pethidine, remifentanil, sufentanil, tapentadol)	Risque de diminution de l'effet antalgique.				
ANALGESIQUES MORPHINIQUES DE PALIER II	MORPHINIQUES AGONISTES-ANTAGONISTES	Association DECONSEILLEE Diminution de l'effet antalgique par blocage competitif des 	(codeine, dihydrocodeine, tramadol)	Diminution de l'effet antalgique par blocage competitif des recepteurs, avec risque d'apparition d'un syndrome de sevrage.				
ANALGESIQUES MORPHINIQUES DE PALIER II	MORPHINIQUES ANTAGONISTES PARTIELS	Association DECONSEILLEE Risque de diminution de l'effet antalgique.	(codeine, dihydrocodeine, tramadol)	Risque de diminution de l'effet antalgique.				
ANALOGUES DE LA SOMATOSTATINE	CICLOSPORINE	Precaution d'emploi Augmentation des doses de ciclosporine sous controle des concentrations plasmatiques et reduction de la posologie apres l'arret du traitement par l'analogue de la somatostatine. 	(lanreotide, octreotide, pasireotide)	Avec la ciclosporine administree par voie orale : baisse des concentrations sanguines de ciclosporine (diminution de son absorption intestinale).			 Augmentation des doses de ciclosporine sous controle des concentrations plasmatiques et reduction de la posologie apres l'arret du traitement par l'analogue de la somatostatine. 	
ANALOGUES DE LA SOMATOSTATINE	INSULINE	Precaution d'emploi Prevenir le patient du risque d'hypoglycemie ou d'hyperglycemie, renforcer l'autosurveillance glycemique et adapter si besoin la posologie de l'insuline pendant le traitement par l'analogue de la somatostatine. 	(lanreotide, octreotide, pasireotide)	Risque d'hypoglycemie ou d'hyperglycemie : diminution ou augmentation des besoins en insuline, par diminution ou augmentation de la secretion de glucagon endogene.			 Prevenir le patient du risque d'hypoglycemie ou d'hyperglycemie, renforcer l'autosurveillance glycemique et adapter si besoin la posologie de l'insuline pendant le traitement par l'analogue de la somatostatine. 	
ANALOGUES DE LA SOMATOSTATINE	PIOGLITAZONE	Precaution d'emploi Renforcer l'autosurveillance glycemique et adapter si besoin la posologie de la glitazone pendant le traitement par l'analogue de la somatostatine. 	(lanreotide, octreotide, pasireotide)	Risque d'hypoglycemie ou d'hyperglycemie : diminution ou augmentation des besoins en glitazone, par diminution ou augmentation de la secretion de glucagon endogene. Thesaurus des interactions medicamenteuses			 Renforcer l'autosurveillance glycemique et adapter si besoin la posologie de la glitazone pendant le traitement par l'analogue de la somatostatine. 	
ANALOGUES DE LA SOMATOSTATINE	REPAGLINIDE	Precaution d'emploi Renforcer l'autosurveillance glycemique et adapter si besoin la posologie de la repaglidine pendant le traitement par l'analogue de la somatostatine. 	(lanreotide, octreotide, pasireotide)	Risque d'hypoglycemie ou d'hyperglycemie : diminution ou augmentation des besoins en repaglidine, par diminution ou augmentation de la secretion de glucagon endogene.			 Renforcer l'autosurveillance glycemique et adapter si besoin la posologie de la repaglidine pendant le traitement par l'analogue de la somatostatine. 	
ANALOGUES DE LA SOMATOSTATINE	SULFAMIDES HYPOGLYCEMIANTS	Precaution d'emploi Renforcer l'autosurveillance glycemique et adapter si besoin la posologie du sulfamide hypoglycemiant pendant le traitement par l'analogue de la somatostatine. 	(lanreotide, octreotide, pasireotide)	Risque d'hypoglycemie ou d'hyperglycemie : diminution ou augmentation des besoins en sulfamide hypoglycemiant, par diminution ou augmentation de la secretion de glucagon endogene.			 Renforcer l'autosurveillance glycemique et adapter si besoin la posologie du sulfamide hypoglycemiant pendant le traitement par l'analogue de la somatostatine. 	
ANDROGENES	ANTIVITAMINES K	Precaution d'emploi Controle plus frequent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par l'androgene et apres son arret. 	(androstanolone, norethandrolone, testosterone)	Augmentation du risque hemorragique par effet direct sur la coagulation et/ou les systemes fibrinolytiques.			 Controle plus frequent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par l'androgene et apres son arret. 	
ANDROGENES	INDUCTEURS ENZYMATIQUES	Precaution d'emploi Surveillance clinique et biologique pendant l'association et 1 a 2 semaines apres l'arret de l'inducteur. 	(androstanolone, norethandrolone, testosterone)	Risque de diminution des concentrations plasmatiques de l'androgene et par consequent de son efficacite, par augmentation de son metabolisme hepatique par l'inducteur.			 Surveillance clinique et biologique pendant l'association et 1 a 2 semaines apres l'arret de l'inducteur. 	
ANESTHESIQUES VOLATILS HALOGENES	BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE	Precaution d'emploi En regle generale, ne pas arreter le traitement beta-bloquant et, de toute facon, eviter l'arret brutal. Informer l'anesthesiste de ce traitement. 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Reduction des reactions cardiovasculaires de compensation par les beta-bloquants. L'inhibition beta-adrenergique peut etre levee durant l'intervention par les beta-stimulants.			 En regle generale, ne pas arreter le traitement beta-bloquant et, de toute facon, eviter l'arret brutal. Informer l'anesthesiste de ce traitement. 	
ANESTHESIQUES VOLATILS HALOGENES	BETA-BLOQUANTS (SAUF ESMOLOL)	Precaution d'emploi En regle generale, ne pas arreter le traitement beta-bloquant et, de toute facon, eviter l'arret brutal. Informer l'anesthesiste de ce traitement. 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Reduction des reactions cardiovasculaires de compensation par les beta-bloquants. L'inhibition beta-adrenergique peut etre levee durant l'intervention par les beta-mimetiques.			 En regle generale, ne pas arreter le traitement beta-bloquant et, de toute facon, eviter l'arret brutal. Informer l'anesthesiste de ce traitement. 	
ANESTHESIQUES VOLATILS HALOGENES	ISONIAZIDE	Precaution d'emploi En cas d'intervention programmee, arreter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours apres. 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Potentialisation de l'effet hepatotoxique de l'isonazide, avec formation accrue de metabolites toxiques de l'isoniazide.			 En cas d'intervention programmee, arreter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours apres. 	
ANESTHESIQUES VOLATILS HALOGENES	ISOPRENALINE	Association DECONSEILLEE Troubles du rythme ventriculaire graves par augmentation de 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.				
ANESTHESIQUES VOLATILS HALOGENES	SYMPATHOMIMETIQUES ALPHA ET BETA (VOIE IM ET IV)	Association DECONSEILLEE Troubles du rythme ventriculaire graves par augmentation de 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Troubles du rythme ventriculaire graves par augmentation de l'excitabilite cardiaque.				
ANESTHESIQUES VOLATILS HALOGENES	SYMPATHOMIMETIQUES INDIRECTS	Precaution d'emploi En cas d'intervention programmee, il est preferable d'interrompre le traitement quelques jours avant l'intervention. 	(desflurane, halothane, isoflurane, methoxyflurane, sevoflurane)	Poussee hypertensive peroperatoire.			 En cas d'intervention programmee, il est preferable d'interrompre le traitement quelques jours avant l'intervention. 	
ANTAGONISTES DES CANAUX CALCIQUES	ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES	ASDEC - PE Association deconseillee avec la nimodipine 	(amlodipine, clevidipine, diltiazem, felodipine, isradipine, lacidipine, lercanidipine, manidipine, nicardipine, nifedipine, nimodipine, nitrendipine, verapamil)	 : Surveillance clinique et adaptation eventuelle de la posologie de l'antagoniste du calcium pendant le traitement par l'anticonvulsivant et apres son arret. Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son metabolisme hepatique.		ASDEC - PE Association deconseillee avec la nimodipine 	ASDEC - PE Association deconseillee avec la nimodipine 	
ANTAGONISTES DES CANAUX CALCIQUES	IDELALISIB	Precaution d'emploi Surveillance clinique et adaptation de la posologie de l'antagoniste calcique pendant le traitement par l'idelalisib et apres son arret. 	(amlodipine, clevidipine, diltiazem, felodipine, isradipine, lacidipine, lercanidipine, manidipine, nicardipine, nifedipine, nimodipine, nitrendipine, verapamil)	Majoration des effets indesirables de l'antagoniste des canaux calciques, a type d'hypotension orthostatique, notamment chez le sujet age.			 Surveillance clinique et adaptation de la posologie de l'antagoniste calcique pendant le traitement par l'idelalisib et apres son arret. 	
ANTAGONISTES DES CANAUX CALCIQUES	INHIBITEURS PUISSANTS DU CYP3A4	Precaution d'emploi Surveillance clinique et adaptation posologique pendant le traitement par l'inhibiteur enzymatique et apres son arret. 	(amlodipine, clevidipine, diltiazem, felodipine, isradipine, lacidipine, lercanidipine, manidipine, nicardipine, nifedipine, nimodipine, nitrendipine, verapamil)	Majoration des effets indesirables de l'antagoniste des canaux calciques, le plus souvent a type d'hypotension notamment chez le sujet age.			 Surveillance clinique et adaptation posologique pendant le traitement par l'inhibiteur enzymatique et apres son arret. 	
ANTAGONISTES DES CANAUX CALCIQUES	RIFAMPICINE	ASDEC - PE Association deconseillee avec la nimodipine 	(amlodipine, clevidipine, diltiazem, felodipine, isradipine, lacidipine, lercanidipine, manidipine, nicardipine, nifedipine, nimodipine, nitrendipine, verapamil)	 : Surveillance clinique et adaptation eventuelle de la posologie de l'antagoniste du calcium pendant le traitement par la rifampicine et apres son arret. Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son metabolisme hepatique.		ASDEC - PE Association deconseillee avec la nimodipine 	ASDEC - PE Association deconseillee avec la nimodipine 	
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	ANTI-INFLAMMATOIRES NON STEROIDIENS	Precaution d'emploi Hydrater le malade et surveiller la fonction renale en debut de traitement et regulierement pendant l'association. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Insuffisance renale aigue chez le patient a risque (sujet age, deshydratation, traitement associe avec diuretiques, alteration de la fonction renale), par diminution de la filtration glomerulaire (inhibition des prostaglandines vasodilatatrices due aux anti- inflammatoires non steroidiens). Ces effets sont generalement reversibles. Par ailleurs, reduction de l'effet antihypertenseur.			 Hydrater le malade et surveiller la fonction renale en debut de traitement et regulierement pendant l'association. 	
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	DIURETIQUES EPARGNEURS DE POTASSIUM (SEULS OU ASSOCIES)	ASDEC - PE Association deconseillee : - si l'association est justifiee, controle strict de la kaliemie et de la fonction renale. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	 : - pour la spironolactone a des doses comprises entre 12,5 mg et 50 mg/jour, et pour l'eplerenone utilisees dans le traitement de l'insuffisance cardiaque, ainsi qu'en cas d'hypokaliemie : controle strict de la kaliemie et de la fonction renale. Risque d'hyperkaliemie (potentiellement letale) surtout en cas d'insuffisance renale (addition des effets hyperkaliemiants).		ASDEC - PE Association deconseillee : - si l'association est justifiee, controle strict de la kaliemie et de la fonction renale. 	ASDEC - PE Association deconseillee : - si l'association est justifiee, controle strict de la kaliemie et de la fonction renale. 	
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	DIURETIQUES HYPOKALIEMIANTS	Precaution d'emploi Dans l'hypertension arterielle, lorsqu'un traitement diuretique prealable a pu entrainer une depletion hydrosodee, il faut : - soit arreter le diuretique avant de debuter le traitement par l'antagoniste de l'angiotensine II, et reintroduire un diuretique hypokaliemiant si necessaire ulterieurement ; - soit administrer des doses initiales reduites d'antagoniste de l'angiotensine II et augmenter progressivement la posologie. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Dans tous les cas : surveiller la fonction renale (creatininemie) dans les premieres semaines du traitement par l'antagoniste de l'angiotensine II. Risque d'hypotension arterielle brutale et/ou d'insuffisance renale aigue lors de l'instauration ou de l'augmentation de la posologie d'un traitement par un antagoniste de l'angiotensine II en cas de depletion hydrosodee preexistante. Thesaurus des interactions medicamenteuses			 Dans l'hypertension arterielle, lorsqu'un traitement diuretique prealable a pu entrainer une depletion hydrosodee, il faut : - soit arreter le diuretique avant de debuter le traitement par l'antagoniste de l'angiotensine II, et reintroduire un diuretique hypokaliemiant si necessaire ulterieurement ; - soit administrer des doses initiales reduites d'antagoniste de l'angiotensine II et augmenter progressivement la posologie. 	
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	EPLERENONE	Precaution d'emploi Controle strict de la kaliemie et de la fonction renale pendant l'association. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Majoration du risque d'hyperkaliemie, notamment chez le sujet age.			 Controle strict de la kaliemie et de la fonction renale pendant l'association. 	
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	INHIBITEURS DE L'ENZYME DE CONVERSION	A prendre en compte 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Dans les indications ou cette association est possible, risque accru de degradation de la fonction renale, voire insuffisance renale aigue, et majoration de l'hyperkaliemie, ainsi que de l'hypotension et des syncopes.				 
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	LITHIUM	Association DECONSEILLEE Si l'usage d'un antagoniste de l'angiotensine II est indispensable, surveillance stricte de la lithemie et adaptation de la posologie. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Augmentation de la lithemie pouvant atteindre des valeurs toxiques (diminution de l'excretion renale du lithium).		 Si l'usage d'un antagoniste de l'angiotensine II est indispensable, surveillance stricte de la lithemie et adaptation de la posologie. 		
