"entree";"interaction";"page";"CI";"AD";"PE";"PC"
"CARBAMAZEPINE";"RISPERIDONE";50;;;"Precaution d'emploi Surveillance clinique, et si besoin, adaptation posologique de la risperidone. Risque de diminution de la fraction active de la risperidone et de son efficacite therapeutique par augmentation de son metabolisme hepatique par la carbamazepine.";
"CARBAMAZEPINE";"SIMVASTATINE";50;;"Association DECONSEILLEE Diminution importante des concentrations plasmatiques de simvastatine, par augmentation de son metabolisme hepatique.";;
"CARBAMAZEPINE";"TOPIRAMATE";50;;;"Precaution d'emploi Surveillance clinique, et si besoin, adaptation posologique du topiramate pendant le traitement par la carbamazepine et apres son arret. Diminution des concentrations du topiramate avec risque de moindre efficacite, par augmentation de son metabolisme hepatique par la carbamazepine.";
"CARBAMAZEPINE";"VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE";50;;;"Precaution d'emploi Surveillance clinique, dosages plasmatiques et adaptation de la posologie des deux anticonvulsivants. Augmentation des concentrations plasmatiques du metabolite actif de la carbamazepine avec signes de surdosage. De plus, diminution des concentrations plasmatiques d'acide valproique par augmentation de son metabolisme hepatique par la carbamazepine.";
"CARMUSTINE";"CIMETIDINE";50;;"Association DECONSEILLEE Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : toxicite medullaire accrue (inhibition du metabolisme de la carmustine).";;
"CARVEDILOL";"CIMETIDINE";51;"CONTRE-INDICATION Utiliser un autre antisecretoire gastrique. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations du carvedilol, pouvant etre prejudiciables dans le cas du traitement de l'insuffisance cardiaque, par diminution de son metabolisme hepatique par la cimetidine.";;;
"CARVEDILOL";"RIFAMPICINE";51;;;"Precaution d'emploi Surveillance clinique reguliere et adaptation de la posologie du carvedilol pendant le traitement par la rifampicine. A l'arret de la rifampicine, risque de remontee importante des concentrations plasmatiques de carvedilol imposant une reduction posologique et une surveillance clinique etroite. Diminution importante des concentrations plasmatiques du carvedilol, par augmentation de son metabolisme hepatique par la rifampicine.";
"CATIORESINE SULFO SODIQUE";"SORBITOL";51;;"Association DECONSEILLEE Avec la resine administree par voie orale et rectale : risque de necrose colique, eventuellement fatale.";;
"CEFALOTINE";"AMINOSIDES";51;;;"Precaution d'emploi Surveillance de la fonction renale. L'augmentation de la nephrotoxicite des aminosides par la cefalotine est discutee.";
"CEFAMANDOLE";"ANTIVITAMINES K";51;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par la cephalosporine et apres son arret. Augmentation de l'effet de l'antivitamine K et du risque hemorragique.";
"CEFOPERAZONE";"ANTIVITAMINES K";51;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par la cephalosporine et apres son arret. Augmentation de l'effet de l'antivitamine K et du risque hemorragique.";
"CEFOTETAN";"ANTIVITAMINES K";51;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par la cephalosporine et apres son arret. Augmentation de l'effet de l'antivitamine K et du risque hemorragique.";
"CEFTRIAXONE";"ANTIVITAMINES K";51;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par la cephalosporine et apres son arret. Augmentation de l'effet de l'antivitamine K et du risque hemorragique.";
"CHLORDIAZEPOXIDE";"CIMETIDINE";51;;;"Precaution d'emploi Avertir les patients de l'augmentation du risque en cas de conduite automobile ou d'utilisation de machines. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : risque accru de somnolence.";
"CHLOROQUINE";"CICLOSPORINE";51;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret de la chloroquine. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CHLOROQUINE";"CIMETIDINE";52;;;;"A prendre en compte Ralentissement de l'elimination de la chloroquine et risque de surdosage."
"CHLOROQUINE";"HORMONES THYROIDIENNES";52;;;"Precaution d'emploi Surveillance des concentrations seriques de T3 et de T4 et adaptation, si besoin, de la posologie de l'hormone thyroidienne pendant le traitement par l'antipaludique et apres son arret. Risque d'hypothyroidie clinique chez les patients substitues par hormones thyroidiennes.";
"CHLORPROMAZINE";"INSULINE";52;;;"Precaution d'emploi Prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie de l'insuline pendant le traitement par le neuroleptique et apres son arret. A fortes posologies (100 mg par jour de chlorpromazine) : elevation de la glycemie (diminution de la liberation de l'insuline).";
"CHLORPROMAZINE";"SULFAMIDES HYPOGLYCEMIANTS";52;;;"Precaution d'emploi Prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie du neuroleptique pendant le traitement et apres son arret. A fortes posologies (100 mg par jour de chlorpromazine) : elevation de la glycemie (diminution de la liberation de l'insuline).";
"CICLOSPORINE";"ACIDE FUSIDIQUE";52;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie pendant le traitement et apres son arret. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"ACIDES BILIAIRES";52;;;;"A prendre en compte Risque de variation des concentrations sanguines de ciclosporine."
"CICLOSPORINE";"AFATINIB";52;;;"Precaution d'emploi Il est recommande d'administrer la ciclosporine le plus a distance possible de l'afatinib, en respectant de preference un intervalle de 6 heures ou de 12 heures par rapport a la prise d'afatinib. Augmentation des concentrations plasmatique d'afatinib par augmentation de son absorption par la ciclosporine.";
"CICLOSPORINE";"ALISKIREN";52;"CONTRE-INDICATION Augmentation de pres de 5 fois des concentrations plasmatiques d'aliskiren et majoration du risque de ses effets indesirables.";;;
"CICLOSPORINE";"AMBRISENTAN";52;;;;"A prendre en compte Doublement des concentrations d'ambrisentan, avec majoration de l'effet vasodilatateur (cephalees)."
"CICLOSPORINE";"AMINOSIDES";52;;;;"A prendre en compte Augmentation de la creatininemie plus importante que sous ciclosporine seule, avec majoration du risque nephrotoxique."
"CICLOSPORINE";"AMIODARONE";52;;"Association DECONSEILLEE Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie de la ciclosporine pendant le traitement par l'amiodarone. Augmentation des concentrations sanguines de ciclosporine, par diminution de son metabolisme hepatique, avec risque d'effets nephrotoxiques.";;
"CICLOSPORINE";"AMPHOTERICINE B";53;;;;"A prendre en compte Avec l'amphotericine B administree par voie IV : augmentation de la creatininemie plus importante que sous ciclosporine seule (synergie des effets nephrotoxiques des deux substances)."
"CICLOSPORINE";"ANALOGUES DE LA SOMATOSTATINE";53;;;"Precaution d'emploi Augmentation des doses de ciclosporine sous controle des concentrations plasmatiques et reduction de la posologie apres l'arret du traitement par l'analogue de la somatostatine. Avec la ciclosporine administree par voie orale : baisse des concentrations sanguines de ciclosporine (diminution de son absorption intestinale).";
"CICLOSPORINE";"ANTI-INFLAMMATOIRES NON STEROIDIENS";53;;;"Precaution d'emploi Surveiller la fonction renale en debut de traitement par l'AINS. Risque d'addition des effets nephrotoxiques, notamment chez le sujet age.";
"CICLOSPORINE";"ATORVASTATINE";53;;;"Precaution d'emploi Ne pas depasser la posologie de 10mg/jour d'atorvastatine. Si l'objectif therapeutique n'est pas atteint a cette posologie, utiliser une autre statine non concernee par ce type d'interaction. Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse (diminution du metabolisme hepatique de l'hypocholesterolemiant.";
"CICLOSPORINE";"AZITHROMYCINE";53;;;"Precaution d'emploi Dosage des concentrations sanguines de la ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret du macrolide. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"BOSENTAN";53;"CONTRE-INDICATION Diminution importante des concentrations sanguines de la ciclosporine et augmentation des concentrations plasmatiques de bosentan.";;;
"CICLOSPORINE";"CHLOROQUINE";53;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret de la chloroquine. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"CIMETIDINE";53;;;;"A prendre en compte Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations sanguines de ciclosporine."
"CICLOSPORINE";"CLINDAMYCINE";53;;;"Precaution d'emploi Controle renforce des dosages sanguins de ciclosporine et augmentation eventuelle de sa posologie. Diminution des concentrations sanguines de l'immunosuppresseur avec risque de perte de l'activite immunosuppressive.";
"CICLOSPORINE";"COLCHICINE";53;;"Association DECONSEILLEE Risque d'addition des effets indesirables neuromusculaires et augmentation de la toxicite de la colchicine avec risque de surdosage par inhibition de son elimination par la ciclosporine, notamment en cas d'insuffisance renale preexistante.";;
"CICLOSPORINE";"DABIGATRAN";53;"CONTRE-INDICATION Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.";;;
"CICLOSPORINE";"DANAZOL";53;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. Augmentation des concentrations sanguines de ciclosporine par inhibition de son metabolisme hepatique.";
"CICLOSPORINE";"DIURETIQUES EPARGNEURS DE POTASSIUM (SEULS OU ASSOCIES)";53;;"Association DECONSEILLEE Hyperkaliemie potentiellement letale, surtout lors d'une insuffisance renale (addition des effets hyperkaliemiants).";;
"CICLOSPORINE";"DIURETIQUES HYPOKALIEMIANTS";53;;;;"A prendre en compte Risque d'augmentation de la creatininemie sans modification des concentrations sanguines de ciclosporine, meme en l'absence de depletion hydrosodee. Egalement, risque d'hyperuricemie et de complications comme la goutte."
"CICLOSPORINE";"ERIBULINE";54;;"Association DECONSEILLEE Augmentation des concentrations plasmatiques d'eribuline par la ciclosporine.";;
"CICLOSPORINE";"EVEROLIMUS";54;;;"Precaution d'emploi Dosage des concentrations sanguines d'everolimus, eventuellement adaptation de la posologie et controle de la fonction renale, pendant l'association et apres son arret. Augmentation des concentrations sanguines de l'everolimus par la ciclosporine. La nephrotoxicite de la ciclosporine est egalement augmentee lors de l'association.";
"CICLOSPORINE";"EZETIMIBE";54;;"Association DECONSEILLEE D'une part, risque majore d'effets indesirables (concentration- dependants) a type de rhabdomyolyse, par augmentation des concentrations d'ezetimibe ; d'autre part, possible augmentation des concentrations de ciclosporine.";;
"CICLOSPORINE";"FENOFIBRATE";54;;;"Precaution d'emploi Surveillance clinique et biologique de la fonction renale, pendant et apres l'association. Risque d'augmentation de la nephrotoxicite de la ciclosporine.";
"CICLOSPORINE";"FIDAXOMICINE";54;;"Association DECONSEILLEE Augmentation des concentrations plasmatiques de la fidaxomicine.";;
"CICLOSPORINE";"JOSAMYCINE";54;;;"Precaution d'emploi Dosage des concentrations sanguines de la ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret du macrolide. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"LERCANIDIPINE";54;;;"Precaution d'emploi Decaler les prises des deux medicaments. Dosage des concentrations sanguines de l'immunosuppresseur, et adaptation si necessaire de sa posologie pendant l'association et apres son arret. Augmentation moderee des concentrations sanguines de l'immunosuppresseur et augmentation plus notable des concentrations de lercanidipine.";
"CICLOSPORINE";"METHOTREXATE";54;;;"Precaution d'emploi Dosage des concentrations sanguines de ciclosporine et de methotrexate. Adaptation posologique si necessaire pendant l'association et apres son arret. Augmentation de la toxicite du methotrexate et de la ciclosporine avec augmentation de la creatininemie : diminution reciproque des clairances des deux medicaments.";
"CICLOSPORINE";"METHYLPREDNISOLONE";54;;;;"A prendre en compte Avec la methylprednisolone administree par voie IV : augmentation possible des concentrations sanguines de ciclosporine et de la creatininemie. Mecanisme invoque : diminution de l'elimination hepatique de la ciclosporine."
"CICLOSPORINE";"MIDECAMYCINE";54;;;"Precaution d'emploi Dosage des concentrations sanguines de la ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret du macrolide. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"MODAFINIL";54;;"Association DECONSEILLEE Risque de diminution des concentrations sanguines et de l'efficacite de l'immunosuppresseur.";;
"CICLOSPORINE";"NIFEDIPINE";54;;"Association DECONSEILLEE Utiliser une autre dihydropyridine. Risque d'addition d'effets indesirables a type de gingivopathies.";;
"CICLOSPORINE";"ORLISTAT";54;;"Association DECONSEILLEE Prendre l'orlistat a distance de la ciclosporine (au moins 3 heures). Controle renforce des dosages sanguins de ciclosporine, notamment en debut d'association, et lors d'augmentation eventuelle de la posologie de l'orlistat. Diminution des concentrations sanguines de ciclosporine par diminution de son absorption intestinale, avec risque de perte de l'activite immunosuppressive.";;
"CICLOSPORINE";"PITAVASTATINE";54;"CONTRE-INDICATION Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse, ou de nephrotoxicite, par diminution du metabolisme de la pitavastatine.";;;
"CICLOSPORINE";"POTASSIUM";55;;"Association DECONSEILLEE Eviter cette association sauf s'il existe une hypokaliemie prealable. Hyperkaliemie essentiellement letale, surtout lors d'une insuffisance renale (addition des effets hyperkaliemiants).";;
"CICLOSPORINE";"PREDNISOLONE";55;;;;"A prendre en compte Augmentation des effets de la prednisolone : aspect cushingoide, reduction de la tolerance aux glucides (diminution de la clairance de la prednisolone)."
"CICLOSPORINE";"REPAGLINIDE";55;;"Association DECONSEILLEE Augmentation de plus du double des concentrations du repaglinide par augmentation de son absorption.";;
"CICLOSPORINE";"ROSUVASTATINE";55;"CONTRE-INDICATION Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse, ou de nephrotoxicite, par diminution du metabolisme de la rosuvastatine.";;;
"CICLOSPORINE";"ROXITHROMYCINE";55;;;"Precaution d'emploi Dosage des concentrations sanguines de la ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres l'arret du macrolide. Risque d'augmentation des concentrations sanguines de ciclosporine et de la creatininemie.";
"CICLOSPORINE";"SIMVASTATINE";55;;;"Precaution d'emploi Ne pas depasser la posologie de 10mg/jour de simvastatine. Si l'objectif therapeutique n'est pas atteint a cette posologie, utiliser une autre statine non concernee par ce type d'interaction. Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse par diminution du metabolisme de la simvastatine.";
"CICLOSPORINE";"SIROLIMUS";55;;;"Precaution d'emploi Il est recommande d'administrer le sirolimus 4 heures apres la ciclosporine. Controle de la fonction renale, pendant l'association et apres son arret. Augmentation des concentrations sanguines de sirolimus par la ciclosporine. La nephrotoxicite de la ciclosporine est egalement augmentee lors de l'association.";
"CICLOSPORINE";"SULFINPYRAZONE";55;;;"Precaution d'emploi Controle des concentrations sanguines de ciclosporine et adaptation eventuelle de sa posologie pendant le traitement par sulfinpyrazone et apres son arret. Diminution des concentrations sanguines de ciclosporine par augmentation de son metabolisme par la sulfinpyrazone.";
"CICLOSPORINE";"TERBINAFINE";55;;;"Precaution d'emploi Controle des concentrations sanguines de ciclosporine et adaptation eventuelle de sa posologie pendant le traitement par terbinafine et apres son arret. Diminution des concentrations sanguines de ciclosporine.";
"CICLOSPORINE";"TICLOPIDINE";55;;;"Precaution d'emploi Augmentation de la posologie de la ciclosporine sous controle des concentrations sanguines. Reduction de la posologie en cas d'arret de la ticlopidine. Diminution des concentrations sanguines de ciclosporine.";
"CICLOSPORINE";"TRIMETHOPRIME";55;;;;"A prendre en compte Avec le trimethoprime (seul ou associe) par voie orale : augmentation de la creatininemie avec diminution possible des concentrations sanguines de ciclosporine. Avec le trimethoprime (seul ou associe) par voie IV : la diminution des concentrations sanguines de ciclosporine peut etre tres importante avec disparition possible du pouvoir immunosuppresseur."
"CICLOSPORINE";"VERAPAMIL";55;;;"Precaution d'emploi Dosage des concentrations sanguines de la ciclosporine, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. Augmentation des concentrations sanguines de la ciclosporine (diminution de son metabolisme hepatique), et majoration du risque de gingivopathies.";
"CIMETIDINE";"ALFENTANIL";55;;;"Precaution d'emploi Adapter la posologie de l'alfentanil en cas de traitement par la cimetidine. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation de l'effet depresseur respiratoire de l'analgesique opiace par diminution de son metabolisme hepatique.";
"CIMETIDINE";"ANTIVITAMINES K";56;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par la cimetidine et 8 jours apres son arret. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation de l'effet de l'antivitamine K et du risque hemorragique (diminution de son metabolisme hepatique).";
"CIMETIDINE";"CARBAMAZEPINE";56;;;"Precaution d'emploi Surveillance clinique et reduction eventuelle de la posologie de la carbamazepine, specialement pendant les premiers jours de traitement par la cimetidine. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : en debut de traitement, augmentation des concentrations plasmatiques de carbamazepine par inhibition de son metabolisme hepatique par la cimetidine.";
"CIMETIDINE";"CARMUSTINE";56;;"Association DECONSEILLEE Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : toxicite medullaire accrue (inhibition du metabolisme de la carmustine).";;
"CIMETIDINE";"CARVEDILOL";56;"CONTRE-INDICATION Utiliser un autre antisecretoire gastrique. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations du carvedilol, pouvant etre prejudiciables dans le cas du traitement de l'insuffisance cardiaque, par diminution de son metabolisme hepatique par la cimetidine.";;;
"CIMETIDINE";"CHLORDIAZEPOXIDE";56;;;"Precaution d'emploi Avertir les patients de l'augmentation du risque en cas de conduite automobile ou d'utilisation de machines. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : risque accru de somnolence.";
"CIMETIDINE";"CHLOROQUINE";56;;;;"A prendre en compte Ralentissement de l'elimination de la chloroquine et risque de surdosage."
"CIMETIDINE";"CICLOSPORINE";56;;;;"A prendre en compte Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations sanguines de ciclosporine."
"CIMETIDINE";"DIAZEPAM";56;;;"Precaution d'emploi Avertir les patients de l'augmentation du risque en cas de conduite automobile ou d'utilisation de machines. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : risque accru de somnolence.";
"CIMETIDINE";"LIDOCAINE";56;;;"Precaution d'emploi Surveillance clinique, ECG et eventuellement des concentrations plasmatiques de la lidocaine ; s'il y a lieu, adaptation de la posologie de la lidocaine pendant le traitement par la cimetidine et apres son arret. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations plasmatiques de lidocaine avec risque d'effets indesirables neurologiques et cardiaques (inhibition du metabolisme hepatique de la lidocaine).";
"CIMETIDINE";"LOMUSTINE";56;;"Association DECONSEILLEE Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : toxicite medullaire accrue (inhibition du metabolisme de la lomustine).";;
"CIMETIDINE";"METHADONE";56;;;"Precaution d'emploi Surveillance clinique et electrocardiographique renforcee ; si besoin, adaptation de la posologie de la methadone pendant le traitement par la cimetidine et apres son arret. Augmentation des concentrations plasmatiques de methadone avec surdosage et risque majore d'allongement de l'intervalle QT et de troubles du rythme ventriculaire, notamment de torsades de pointes.";
"CIMETIDINE";"METOPROLOL";56;"CONTRE-INDICATION Utiliser un autre antisecretoire gastrique. Avec le metoprolol utilise dans l'insuffisance cardiaque, et la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations du metoprolol, pouvant etre prejudiciables dans le cas du traitement de l'insuffisance cardiaque, par diminution de son metabolisme hepatique par la cimetidine.";;;
"CIMETIDINE";"MOCLOBEMIDE";56;;;"Precaution d'emploi Surveillance clinique avec adaptation eventuelle de la posologie de moclobemide. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations du moclobemide, par diminution de son metabolisme hepatique.";
"CIMETIDINE";"NIFEDIPINE";56;;;"Precaution d'emploi Surveillance clinique accrue : adapter la posologie de la nifedipine pendant le tratiement par la cimetidine et apres son arret. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation de l'effet hypotenseur de la nifedipine par inhibition de son metabolisme hepatique par la cimetidine.";
"CIMETIDINE";"PHENYTOINE (ET, PAR EXTRAPOLATION, FOSPHENYTOINE)";57;;"Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique etroite, dosage des concentrations plasmatiques de phenytoine et adaptation eventuelle de sa posologie pendant le traitement par la cimetidine et apres son arret. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation des concentrations plasmatiques de phenytoine avec possibilite d'apparition des signes habituels de surdosage.";;
"CIMETIDINE";"THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)";57;;;"Precaution d'emploi Surveillance clinique et eventuellement de la theophyllinemie. S'il y a lieu, adaptation de la theophylline pendant le traitement par la cimetidine et apres son arret. Avec la cimetidine utilisee a des doses superieures ou egales a 800 mg/j : augmentation de la theophyllinemie avec risque de surdosage (diminution du metabolisme de la theophylline).";
"CINACALCET";"DEXTROMETHORPHANE";57;"CONTRE-INDICATION Augmentation tres importante des concentrations plasmatiques de dextromethorphane avec risque de surdosage, par diminution de son metabolisme hepatique par le cinacalcet.";;;
"CINACALCET";"FLECAINIDE";57;;;"Precaution d'emploi Surveillance clinique et reduction de la posologie du flecainide pendant le traitement par cinacalcet. Augmentation des concentrations plasmatiques de flecainide avec risque de surdosage, par diminution de son metabolisme hepatique par le cinacalcet.";
"CINACALCET";"MEQUITAZINE";57;;"Association DECONSEILLEE Risque de majoration des effets indesirables de la mequitazine, par inhibition de son metabolisme par l'inhibiteur enzymatique.";;
"CINACALCET";"METOPROLOL";57;;;"Precaution d'emploi Surveillance clinique et reduction de la posologie du metroprolol pendant le traitement par cinacalcet. Augmentation des concentrations plasmatiques de metroprolol avec risque de surdosage, par diminution de son metabolisme hepatique par le cinacalcet.";
"CINACALCET";"PROPAFENONE";57;;;"Precaution d'emploi Surveillance clinique et reduction de la posologie de la propafenone pendant le traitement par cinacalcet. Augmentation des concentrations plasmatiques de propafenone avec risque de surdosage, par diminution de son metabolisme hepatique par le cinacalcet.";
"CIPROFLOXACINE";"AGOMELATINE";57;"CONTRE-INDICATION Augmentation des concentrations d'agomelatine, avec risque de majoration des effets indesirables.";;;
"CIPROFLOXACINE";"CAFEINE";57;;;;"A prendre en compte Augmentation des concentrations plasmatiques de cafeine, par diminution de son metabolisme hepatique."
"CIPROFLOXACINE";"CLOZAPINE";57;;;"Precaution d'emploi Surveillance clinique et reduction eventuelle de la posologie de la clozapine pendant le traitement par la ciprofloxacine et apres son arret. Augmentation des concentrations de clozapine avec risque de surdosage, par diminution de son metabolisme hepatique par la ciprofloxacine.";
"CIPROFLOXACINE";"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES";57;;;"Precaution d'emploi Surveillance clinique et electrocardiographique pendant l'association. Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes.";
"CIPROFLOXACINE";"METHOTREXATE";57;;"Association DECONSEILLEE Augmentation de la toxicite du methotrexate par inhibition de sa secretion tubulaire renale par la ciprofloxacine.";;
"CIPROFLOXACINE";"PHENYTOINE (ET, PAR EXTRAPOLATION, FOSPHENYTOINE)";57;;;"Precaution d'emploi Surveillance clinique et controle des concentrations plasmatiques de l'anticonvulsivant pendant le traitement par ciprofloxacine et apres son arret. Variation, eventuellement importante, des concentrations de phenytoine en cas de traitement par la ciprofloxacine.";
"CIPROFLOXACINE";"ROPINIROLE";58;;;"Precaution d'emploi Surveillance clinique et reduction eventuelle de la posologie du ropinirole pendant le traitement par la ciprofloxacine et apres son arret. Augmentation des concentrations de ropinirole avec risque de surdosage, par diminution de son metabolisme hepatique par la ciprofloxacine.";
"CIPROFLOXACINE";"THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)";58;;;"Precaution d'emploi Surveillance clinique et eventuellement de la theophyllinemie. Augmentation de la theophyllinemie avec risque de surdosage, par diminution de son metabolisme hepatique par la ciprofloxacine.";
"CITRATES";"ALUMINIUM (SELS)";58;;;"Precaution d'emploi Prendre les topiques gastro-intestinaux a base d'aluminium a distance des citrates (plus de 2 heures si possible), y compris les citrates naturels (jus d'agrumes). Risque de facilitation du passage systemique de l'aluminium, notamment en cas de fonction renale alteree.";
"CLADRIBINE";"LAMIVUDINE";58;;"Association DECONSEILLEE Risque de diminution de l'efficacite de la cladribine par la lamivudine.";;
"CLARITHROMYCINE";"ALCALOIDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS";58;"CONTRE-INDICATION Risque de vasoconstriction coronaire ou des extremites (ergotisme), ou de poussees hypertensives.";;;
"CLARITHROMYCINE";"ATAZANAVIR";58;;;"Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. Augmentation des concentrations plasmatiques de clarithromycine et inhibition de la formation de son metabolite actif.";
"CLARITHROMYCINE";"ATORVASTATINE";58;;;"Precaution d'emploi Utiliser des doses plus faibles d'hypocholesterolemiant. Si l'objectif therapeutique n'est pas atteint, utiliser une autre statine non concernee par ce type d'interaction. Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse, par diminution du metabolisme hepatique de l'hypocholesterolemiant.";
"CLARITHROMYCINE";"CARBAMAZEPINE";58;;;"Precaution d'emploi Surveillance clinique et reduction eventuelle de la posologie de la carbamazepine. Augmentation des concentrations plasmatiques de carbamazepine avec signes de surdosage, par inhibition de son metabolisme hepatique.";
"CLARITHROMYCINE";"DARIFENACINE";58;;;"Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie de darifenacine. Augmentation des concentrations de darifenacine, avec risque de majoration de ses effets indesirables.";
"CLARITHROMYCINE";"DEXAMETHASONE";58;;;;"A prendre en compte Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide."
"CLARITHROMYCINE";"DIGOXINE";58;;;"Precaution d'emploi Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par la clarithromycine et apres son arret. Augmentation de la digoxinemie par augmentation de son absorption.";
"CLARITHROMYCINE";"DISOPYRAMIDE";58;;"Association DECONSEILLEE Surveillance clinique, biologique et electrocardiographique reguliere. Risque de majoration des effets indesirables du disopyramide : hypoglycemies severes, allongement de l'intervalle QT et troubles du rythme ventriculaire graves, notamment a type de torsades de pointes.";;
"CLARITHROMYCINE";"EBASTINE";58;;"Association DECONSEILLEE Risque majore de troubles du rythme ventriculaire chez les sujets predisposes (syndrome du QT long congenital).";;
"CLARITHROMYCINE";"ERIBULINE";59;;"Association DECONSEILLEE Augmentation des concentrations plasmatiques d'eribuline par la clarithromycine.";;
"CLARITHROMYCINE";"ETRAVIRINE";59;;;;"A prendre en compte Dans le traitement des infections a Mycobacterium avium complex, risque de diminution de l'efficacite de la clarithromycine par augmentation de son metabolisme hepatique par l'etravirine."
"CLARITHROMYCINE";"FESOTERODINE";59;;"Association DECONSEILLEE Augmentation des concentrations de fesoterodine chez les metaboliseurs lents, avec risque de surdosage.";;
"CLARITHROMYCINE";"FIDAXOMICINE";59;;"Association DECONSEILLEE Augmentation des concentrations plasmatiques de la fidaxomicine.";;
"CLARITHROMYCINE";"GLIBENCLAMIDE";59;;;"Precaution d'emploi Prevenir le patient, renforcer l'autosurveillance glycemique et adapter eventuellement la posologie du sulfamide hypoglycemiant pendant le traitement par la clarithromycine. Risque d'hypoglycemie par augmentation de l'absorption et des concentrations plasmatiques de l'antidiabetique.";
