"protagoniste1";"protagoniste2";"page";"CI";"AD";"PE";"PC";"couple"
"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";"EPLERENONE";16;;;"Precaution d'emploi Controle strict de la kaliemie et de la fonction renale pendant l'association. Majoration du risque d'hyperkaliemie, notamment chez le sujet age.";;"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II;EPLERENONE"
"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";"INHIBITEURS DE L'ENZYME DE CONVERSION";16;;;;"A prendre en compte Dans les indications ou cette association est possible, risque accru de degradation de la fonction renale, voire insuffisance renale aigue, et majoration de l'hyperkaliemie, ainsi que de l'hypotension et des syncopes.";"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II;INHIBITEURS DE L'ENZYME DE CONVERSION"
"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";"LITHIUM";17;;"Association DECONSEILLEE Si l'usage d'un antagoniste de l'angiotensine II est indispensable, surveillance stricte de la lithemie et adaptation de la posologie. Augmentation de la lithemie pouvant atteindre des valeurs toxiques (diminution de l'excretion renale du lithium).  /226";;;"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II;LITHIUM"
"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II";"POTASSIUM";17;;"Association DECONSEILLEE Eviter cette association sauf s'il existe une hypokaliemie prealable. Hyperkaliemie (potentiellement letale) surtout lors d'une insuffisance renale (addition des effets hyperkaliemiants).";;;"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II;POTASSIUM"
"ANTIAGREGANTS PLAQUETTAIRES";"ANTICOAGULANTS ORAUX";17;;;;"A prendre en compte Augmentation du risque hemorragique.";"ANTIAGREGANTS PLAQUETTAIRES;ANTICOAGULANTS ORAUX"
"ANTIAGREGANTS PLAQUETTAIRES";"DEFIBROTIDE";17;;"Association DECONSEILLEE Risque hemorragique accru.";;;"ANTIAGREGANTS PLAQUETTAIRES;DEFIBROTIDE"
"ANTIAGREGANTS PLAQUETTAIRES";"HEPARINES";17;;;;"A prendre en compte Augmentation du risque hemorragique.";"ANTIAGREGANTS PLAQUETTAIRES;HEPARINES"
"ANTIAGREGANTS PLAQUETTAIRES";"THROMBOLYTIQUES";17;;;;"A prendre en compte Augmentation du risque hemorragique.";"ANTIAGREGANTS PLAQUETTAIRES;THROMBOLYTIQUES"
"ANTIARYTHMIQUES";"ANTIARYTHMIQUES";17;"CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.";"CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.";;"CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.";"ANTIARYTHMIQUES;ANTIARYTHMIQUES"
"ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE)";"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)";17;;;"Precaution d'emploi Surveillance clinique et ECG. Troubles de la contractilite, de l'automatisme et de la conduction (suppression des mecanismes sympathiques compensateurs).";;"ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE);BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE)";"BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE";17;"CONTRE-INDICATION Effet inotrope negatif avec risque de decompensation cardiaque.";;;;"ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE);BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE"
"ANTIARYTHMIQUES CLASSE IA";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";18;;;"Precaution d'emploi Surveillance clinique, ECG et controle des concentrations plasmatiques ; si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques et de l'efficacite de l'antiarythmique, par augmentation de son metabolisme hepatique par l'inducteur.  /226";;"ANTIARYTHMIQUES CLASSE IA;ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES"
"ANTIARYTHMIQUES CLASSE IA";"ESMOLOL";18;;;"Precaution d'emploi Surveillance clinique et ECG. Troubles de la contractilite, de l'automatisme et de la conduction (suppression des mecanismes sympathiques compensateurs).";;"ANTIARYTHMIQUES CLASSE IA;ESMOLOL"
"ANTIARYTHMIQUES CLASSE IA";"RIFAMPICINE";18;;;"Precaution d'emploi Surveillance clinique, ECG et eventuellement de la concentration plasmatique de l'antiarythmique. Si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par la rifampicine et apres son arret (risque de surdosage en antiarythmique). Diminution des concentrations plasmatiques et de l'efficacite de l'antiarythmique (augmentation de son metabolisme hepatique).";;"ANTIARYTHMIQUES CLASSE IA;RIFAMPICINE"
"ANTICHOLINESTERASIQUES";"MEDICAMENTS ATROPINIQUES";18;;;;"A prendre en compte Il convient de prendre en compte le risque lie a l'association d'un medicament a action atropinique (imipraminiques, neuroleptiques phenothiaziniques, antispasmodiques, certains antihistaminiques H1...) chez un patient traite par anticholinesterasique. Outre la possible diminution de l'effet therapeutique de ce dernier, l'interruption brutale du traitement atropinique expose au risque de devoiler alors les effets muscariniques du parasympathomimetique avec symptomatologie de type << crise cholinergique >>, pouvant se manifester notamment par des convulsions.";"ANTICHOLINESTERASIQUES;MEDICAMENTS ATROPINIQUES"
"ANTICHOLINESTERASIQUES";"ANTICHOLINESTERASIQUES";18;;;;"A prendre en compte Il convient de prendre en compte l'association d'un medicament anticholinesterasique, donne dans une indication telle que la myasthenie ou l'atonie intestinale, a un autre anticholinesterasique donne dans la maladie d'Alzheimer, en raison d'un risque d'addition des effets indesirables de type cholinergique, notamment digestifs. (ambenonium, donepezil, galantamine, neostigmine, pyridostigmine, rivastigmine)";"ANTICHOLINESTERASIQUES;ANTICHOLINESTERASIQUES"
"ANTICHOLINESTERASIQUES";"BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE";18;;;"Precaution d'emploi Surveillance clinique reguliere, notamment en debut d'association. Risque de bradycardie excessive (addition des effets bradycardisants).";;"ANTICHOLINESTERASIQUES;BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE"
"ANTICHOLINESTERASIQUES";"PILOCARPINE";18;;;;"A prendre en compte Risque d'addition des effets indesirables cholinergiques, notamment digestifs.";"ANTICHOLINESTERASIQUES;PILOCARPINE"
"ANTICHOLINESTERASIQUES";"SUXAMETHONIUM";18;;;;"A prendre en compte Risque d'allongement du bloc moteur, majore en cas de deficit partiel en pseudocholinesterase.";"ANTICHOLINESTERASIQUES;SUXAMETHONIUM"
"ANTICOAGULANTS ORAUX";"ANTICOAGULANTS ORAUX";18;;;;"A prendre en compte Tenir compte de la demi-vie de l'anticoagulant oral et observer, le cas echeant, un delai de carence avant le debut du traitement par l'autre. Penser a informer le patient. Risque de majoration des evenements hemorragiques lors du relais d'un anticoagulant oral par un autre.";"ANTICOAGULANTS ORAUX;ANTICOAGULANTS ORAUX"
"ANTICOAGULANTS ORAUX";"ANTI-INFLAMMATOIRES NON STEROIDIENS";19;"CI - ASDEC Contre-indication : - avec la phenylbutazone. Association deconseillee : - avec les autres AINS. Si l'association ne peut etre evitee, surveillance clinique etroite, voire biologique . Augmentation du risque hemorragique de l'anticoagulant oral (agression de la muqueuse gastroduodenale par les anti- inflammatoires non steroidiens).  /226";"CI - ASDEC Contre-indication : - avec la phenylbutazone. Association deconseillee : - avec les autres AINS. Si l'association ne peut etre evitee, surveillance clinique etroite, voire biologique . Augmentation du risque hemorragique de l'anticoagulant oral (agression de la muqueuse gastroduodenale par les anti- inflammatoires non steroidiens).  /226";;;"ANTICOAGULANTS ORAUX;ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ANTICOAGULANTS ORAUX";"DEFIBROTIDE";19;;"Association DECONSEILLEE Risque hemorragique accru.";;;"ANTICOAGULANTS ORAUX;DEFIBROTIDE"
"ANTICOAGULANTS ORAUX";"GLUCOCORTICOIDES (SAUF HYDROCORTISONE)";19;;;"Precaution d'emploi Lorsque l'association est justifiee, renforcer la surveillance : le cas echeant, avec les antivitamines K, controle biologique au 8e jour, puis tous les 15 jours pendant la corticotherapie et apres son arret. Glucocorticoides (voies generale et rectale) : impact eventuel de la corticotherapie sur le metabolisme de l'antivitamine K et sur celui des facteurs de la coagulation. Risque hemorragique propre a la corticotherapie (muqueuse digestive, fragilite vasculaire) a fortes doses ou en traitement prolonge superieur a 10 jours.";;"ANTICOAGULANTS ORAUX;GLUCOCORTICOIDES (SAUF HYDROCORTISONE)"
"ANTICOAGULANTS ORAUX";"HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)";19;;;"Precaution d'emploi Renforcer la surveillance clinique et, le cas echeant, biologique. Augmentation du risque hemorragique.";;"ANTICOAGULANTS ORAUX;HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)"
"ANTICOAGULANTS ORAUX";"INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE";19;;;"Precaution d'emploi Surveillance clinique et, le cas echeant, controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'anticoagulant oral pendant la duree de l'association et a son arret. Augmentation du risque hemorragique.";;"ANTICOAGULANTS ORAUX;INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE"
"ANTICOAGULANTS ORAUX";"IPILIMUMAB";19;;;"Precaution d'emploi Surveillance clinique etroite. Augmentation du risque d'hemorragies digestives.";;"ANTICOAGULANTS ORAUX;IPILIMUMAB"
"ANTICOAGULANTS ORAUX";"MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES";19;;;"Precaution d'emploi Surveillance clinique et, le cas echeant, controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'anticoagulant oral pendant la duree de l'association et a son arret. Augmentation du risque hemorragique.";;"ANTICOAGULANTS ORAUX;MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"ANTIVITAMINES K";19;;;"Precaution d'emploi Controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'antivitamine K pendant le traitement par l'anticonvulsivant inducteur et 8 jours apres son arret. Diminution (ou, rarement, augmentation avec la phenytoine) de l'effet de l'antivitamine K par augmentation de son metabolisme hepatique par l'anticonvulsivant inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;ANTIVITAMINES K"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"APIXABAN";19;;"Association DECONSEILLEE Diminution des concentrations plasmatiques de l'apixaban par l' anticonvulsivant inducteur enzymatique, avec risque de diminution de l'effet therapeutique.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;APIXABAN"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"APREPITANT";20;;"Association DECONSEILLEE Risque de diminution tres importante des concentrations d'aprepitant.  /226";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;APREPITANT"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"BOCEPREVIR";20;;"Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique et biologique reguliere, notamment en debut d'association. Risque de diminution des concentrations plasmatiques de boceprevir.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;BOCEPREVIR"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"BOSENTAN";20;;"Association DECONSEILLEE Risque de diminution des concentrations plasmatiques de bosentan.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;BOSENTAN"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"COBICISTAT";20;"CONTRE-INDICATION Risque de diminution de l'efficacite du cobicistat par augmentation de son metabolisme par l'inducteur.";;;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;COBICISTAT"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"DABIGATRAN";20;;"Association DECONSEILLEE Diminution des concentrations plasmatiques de dabigatran, avec risque de diminution de l'effet therapeutique.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;DABIGATRAN"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"DEFERASIROX";20;;;"Precaution d'emploi Surveiller la ferritinemie pendant et apres le traitement par l'inducteur enzymatique. Si besoin, adaptation de la posologie de deferasirox. Risque de diminution des concentrations plasmatiques de deferasirox.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;DEFERASIROX"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"DELAMANID";20;"CONTRE-INDICATION Diminution des concentrations plasmatiques de delamanid par augmentation de son metabolisme hepatique par l'inducteur.";;;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;DELAMANID"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"DOXYCYCLINE";20;;;"Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie de la doxycycline. Diminution des concentrations plasmatiques de la doxycycline par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;DOXYCYCLINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"DRONEDARONE";20;;"Association DECONSEILLEE Diminution importante des concentrations de dronedarone par augmentation de son metabolisme, sans modification notable du metabolite actif.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;DRONEDARONE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"ESTROGENES NON CONTRACEPTIFS";20;;;"Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie du traitement hormonal pendant l'administration de l'anticonvulsivant inducteur et apres son arret. Diminution de l'efficacite de l'estrogene.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;ESTROGENES NON CONTRACEPTIFS"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"FENTANYL";20;;"Association DECONSEILLEE Preferer un autre morphinique. Diminution des concentrations plasmatiques de fentanyl par augmentation de son metabolisme hepatique par l'anticonvulsivant.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;FENTANYL"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"GLUCOCORTICOIDES (SAUF HYDROCORTISONE)";20;;;"Precaution d'emploi Surveillance clinique et biologique ; adaptation de la posologie des corticoides pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques et de l'efficacite des corticoides par augmentation de leur metabolisme hepatique par l'inducteur : les consequences sont particulierement importantes chez les addisoniens traites par l'hydrocortisone et en cas de transplantation.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;GLUCOCORTICOIDES (SAUF HYDROCORTISONE)"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"HORMONES THYROIDIENNES";20;;;"Precaution d'emploi Surveillance des concentrations seriques de T3 et de T4 et adaptation, si besoin, de la posologie des hormones thyroidiennes pendant le traitement par l'inducteur et apres son arret. Risque d'hypothyroidie clinique chez les patients hypothyroidiens, par augmentation du metabolisme de la T3 et de la T4.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;HORMONES THYROIDIENNES"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"IDELALISIB";20;;"Association DECONSEILLEE Diminution des concentrations plasmatiques d'idelalisib par augmentation de son metabolisme hepatique par l'anticonvulsivant inducteur enzymatique.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;IDELALISIB"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR";21;;;"Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. Risque de baisse de l'efficacite de l'inhibiteur de proteases par augmentation de son metabolisme hepatique par l'inducteur.  /226";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"INHIBITEURS DES TYROSINE KINASES METABOLISES";21;;"Association DECONSEILLEE Diminution des concentrations plasmatiques et de l'efficacite de l'inhibiteur de tyrosine kinase, par augmentation de son metabolisme par l'inducteur.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;INHIBITEURS DES TYROSINE KINASES METABOLISES"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"IVABRADINE";21;;;"Precaution d'emploi Surveillance clinique et adaptation de la posologie de l'ivabradine pendant l'association et apres l'arret de l'inducteur. Risque de diminution de l'efficacite de l'ivabradine, par augmentation de son metabolisme par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;IVABRADINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"LEDIPASVIR";21;"CONTRE-INDICATION Diminution importante des concentrations plasmatiques du ledipasvir par augmentation de son metabolisme hepatique par l'anticonvulsivant inducteur enzymatique.";;;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;LEDIPASVIR"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"METRONIDAZOLE";21;;;"Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie de metronidazole pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques du metronidazole par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;METRONIDAZOLE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"MIDAZOLAM";21;;;;"A prendre en compte Risque de diminution des concentrations plasmatiques du midazolam par l'anticonvulsivant.";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;MIDAZOLAM"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"MINERALOCORTICOIDES";21;;;"Precaution d'emploi Surveillance clinique et biologique ; adaptation de la posologie des corticoides pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques et de l'efficacite des corticoides par augmentation de leur metabolisme hepatique par l'inducteur : les consequences sont particulierement importantes chez les addisoniens traites par l'hydrocortisone et en cas de transplantation.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;MINERALOCORTICOIDES"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"MONTELUKAST";21;;;"Precaution d'emploi Surveillance clinique et adaptation eventuelle de la posologie de l'anti- asthmatique pendant le traitement par l'inducteur et apres son arret. Risque de baisse de l'efficacite du montelukast par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;MONTELUKAST"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"NIMODIPINE";21;;"Association DECONSEILLEE Surveillance clinique et adaptation eventuelle de la posologie de l'antagoniste du calcium pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son metabolisme hepatique par l'inducteur.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;NIMODIPINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"PERAMPANEL";21;;;;"A prendre en compte Diminution importante (jusqu'aux deux-tiers) des concentrations de perampanel.";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;PERAMPANEL"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"POSACONAZOLE";21;;;"Precaution d'emploi Surveillance clinique. Si possible, dosages plasmatiques du posaconazole et adaptation eventuelle de sa posologie. Diminution des concentrations plasmatiques et de l'efficacite du posaconazole.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;POSACONAZOLE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"PRAZIQUANTEL";21;;"Association DECONSEILLEE Diminution tres importante des concentrations plasmatiques du praziquantel, avec risque d'echec du traitement, par augmentation de son metabolisme hepatique par l'inducteur.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;PRAZIQUANTEL"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"PROCARBAZINE";21;;;;"A prendre en compte Augmentation des reactions d'hypersensibilite (hypereosinophilie, rash), par augmentation du metabolisme de la procarbazine par l'inducteur.";"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;PROCARBAZINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"PROPAFENONE";21;;;"Precaution d'emploi Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie de la propafenone pendant l'association et apres l'arret de l'inducteur. Diminution des concentrations plasmatiques de la propafenone par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;PROPAFENONE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"QUETIAPINE";22;;"Association DECONSEILLEE Diminution tres importante des concentrations plasmatiques de quetiapine par augmentation de son metabolisme hepatique par l'inducteur, avec risque d'inefficacite.  /226";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;QUETIAPINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"QUININE";22;;;"Precaution d'emploi Surveillance clinique et adaptation de la posologie de la quinine pendant le traitement par l'inducteur et apres son arret. Risque de perte de l'efficacite de la quinine par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;QUININE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"RANOLAZINE";22;;"Association DECONSEILLEE Risque de diminution importante des concentrations de ranolazine.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;RANOLAZINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"RIVAROXABAN";22;;"Association DECONSEILLEE Diminution des concentrations plasmatiques de rivaroxaban, avec risque de diminution de l'effet therapeutique.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;RIVAROXABAN"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"STIRIPENTOL";22;;;"Precaution d'emploi Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'anticonvulsivant associe au stiripentol et adaptation eventuelle de sa posologie. Augmentation des concentrations plasmatiques de l'anticonvulsivant, avec risque de surdosage, par inhibition de son metabolisme hepatique par le stiripentol.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;STIRIPENTOL"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"TELAPREVIR";22;"CONTRE-INDICATION Risque de diminution tres importante des concentrations de telaprevir.";;;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;TELAPREVIR"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"TELITHROMYCINE";22;;"Association DECONSEILLEE Diminution des concentrations plasmatiques de la telithromycine, avec risque d'echec du traitement anti-infectieux, par augmentation de son metabolisme hepatique par l'inducteur.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;TELITHROMYCINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)";22;;;"Precaution d'emploi Surveillance clinique et, si besoin, de la theophyllinemie. Adaptation eventuelle de la posologie de la theophylline pendant le traitement par l'inducteur et apres son arret. Diminution des concentrations plasmatiques et de l'efficacite de la theophylline par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"TIAGABINE";22;;;"Precaution d'emploi Une augmentation de la posologie de tiagabine peut s'averer necessaire en cas d'association a un anticonvulsivant inducteur enzymatique. Diminution des concentrations plasmatiques de la tiagabine par augmentation de son metabolisme hepatique par l'inducteur.";;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;TIAGABINE"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"TICAGRELOR";22;;"Association DECONSEILLEE Diminution importante des concentrations plasmatiques de ticagrelor par augmentation de son metabolisme hepatique par l'anticonvulsivant inducteur enzymatique, avec risque de diminution de l'effet therapeutique.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;TICAGRELOR"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"ULIPRISTAL";22;;"Association DECONSEILLEE Preferer une alternative therapeutique peu ou pas metabolisee. Risque de diminution de l'effet de l'ulipristal, par augmentation de son metabolisme hepatique par l'inducteur.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;ULIPRISTAL"
"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES";"VORICONAZOLE";22;"CI - ASDEC Contre-indication : - pour carbamazepine, phenobarbital, primidone Association deconseillee : - pour phenytoine, fosphenytoine Si l'association ne peut etre evitee, surveillance clinique etroite, dosage des concentrations plasmatiques de phenytoine et adaptation eventuelle des posologies pendant l'association et apres l'arret du voriconazole. - pour carbamazepine, phenobarbital, primidone : Risque de baisse de l'efficacite du voriconazole par augmentation de son metabolisme hepatique par l'inducteur. - pour phenytoine, fosphenytoine : Diminution importante des concentrations plasmatiques du voriconazole avec risque de perte d'efficacite, par augmentation de son metabolisme hepatique par la phenytoine, d'une part, et augmentation des concentrations plasmatiques de la phenytoine par diminution de son metabolisme hepatique par le voriconazole, d'autre part.";"CI - ASDEC Contre-indication : - pour carbamazepine, phenobarbital, primidone Association deconseillee : - pour phenytoine, fosphenytoine Si l'association ne peut etre evitee, surveillance clinique etroite, dosage des concentrations plasmatiques de phenytoine et adaptation eventuelle des posologies pendant l'association et apres l'arret du voriconazole. - pour carbamazepine, phenobarbital, primidone : Risque de baisse de l'efficacite du voriconazole par augmentation de son metabolisme hepatique par l'inducteur. - pour phenytoine, fosphenytoine : Diminution importante des concentrations plasmatiques du voriconazole avec risque de perte d'efficacite, par augmentation de son metabolisme hepatique par la phenytoine, d'une part, et augmentation des concentrations plasmatiques de la phenytoine par diminution de son metabolisme hepatique par le voriconazole, d'autre part.";;;"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES;VORICONAZOLE"
"ANTICONVULSIVANTS METABOLISES";"MILLEPERTUIS";23;"CONTRE-INDICATION Risque de diminution des concentrations plasmatiques et de l'efficacite de l'anticonvulsivant.  /226";;;;"ANTICONVULSIVANTS METABOLISES;MILLEPERTUIS"
